2092	2647	1923	1414	2552	2727	2274	2014	1932	2007	2454	2726	1545	1684	2455	1925	1837	2361	1922	2088	2015	1479	2803	2646	1930	2547	2178	2180	1838	2359	1933	2095	2269	1761	2724	2637	2644	2089	2363	2181	2639	2804	2551	2641	2362	2182	2725	2452	2553	1756	1.7724	0.67586	3.0151	1.7724	3.691	2.1756	92
1965	1810	1339	1714	1722	1887	1340	2141	1730	1582	2317	1715	1802	2411	1658	1724	1805	1721	1653	1888	1456	1726	1881	1809	2319	1804	1879	2232	1279	1394	1723	1585	1979	1390	1980	1966	1520	1880	2061	1728	1796	1795	1972	2500	1803	1648	1519	2410	1649	1797	0.80362	0.34007	8.4537	0.80362	8.7937	1.0023	76
4587	4612	4809	4517	4596	4710	4608	4661	4548	4572	4687	4680	4842	4595	4549	4708	4637	4571	4619	4685	4879	4662	4684	4901	4594	4868	4660	4568	4593	4609	4898	4686	4569	4763	4542	4663	4689	4570	4620	4531	4481	4783	4876	4844	4562	4550	4514	4551	4709	4638	0.5397	0.35992	1.6323	0.5397	1.9923	0.69006	96
3823	3650	4184	3654	3742	3821	3649	3657	3656	4236	4090	3356	3728	3260	3651	3968	4194	3901	3741	3738	4138	3735	3559	4140	3554	3456	3829	3828	3655	3898	4226	4102	3903	3647	3729	3648	3897	3739	4086	4030	4271	4235	4139	3555	3730	3556	3740	3257	3457	4151	0.74131	3.1266	10.012	0.74131	13.138	2.8981	70
85	10	36	116	6	145	15	170	211	171	103	208	169	102	69	49	84	58	48	59	127	120	207	44	22	101	70	125	167	35	53	231	191	30	128	172	152	210	225	246	54	220	57	142	164	153	150	113	73	56	0.14463	3.5483	2.4494	0.14463	5.9977	0.60395	32
1995	1462	1911	1185	1909	1408	1243	1467	1190	1237	1135	2158	1472	2242	1189	2152	2154	1830	1994	2067	2420	2074	1669	2235	1993	1140	2332	2238	1748	1139	1904	1296	1183	1351	1292	1137	1908	1352	1601	1089	1238	1412	2239	1355	1349	1528	1990	2237	1136	1531	0.39887	0.4481	8.4876	0.39887	8.9357	0.61519	90
3885	1831	2956	2075	1832	2423	1752	3531	3805	2614	3720	2527	3721	3804	3530	2709	3130	2433	2619	2704	3958	3627	1912	2621	2609	3229	2338	3238	3235	2618	2434	2863	2702	2617	2946	1996	1913	2526	2955	2610	1751	3429	2712	2430	3961	2076	2077	2432	3048	3960	0.9222	0.21244	10.925	0.9222	11.138	1.2386	57
3689	3283	2997	3768	3855	2996	3688	2906	2664	2821	3383	3000	3854	2820	3686	3773	2901	2741	3593	3592	2822	2562	3852	3772	2993	2903	2825	3276	3687	2480	2998	3086	2992	2999	3685	2995	3589	3479	2902	2819	3182	3591	3082	2990	2572	3487	3289	2663	2900	3493	0.7083	0.1942	4.9036	0.7083	4.7094	0.83555	101
4048	4049	3571	3990	3367	3570	3368	4103	3468	3267	4195	3987	4105	3986	4153	3470	3912	3834	4152	3993	3913	4106	3839	3914	4154	4104	3920	3366	4050	4196	3911	3469	4108	3836	3270	4155	3916	3569	3269	3988	3266	3989	3909	3265	4156	3471	3665	3365	3835	3915	0.37709	0.53768	1.3527	0.37709	1.8904	0.69507	97
4331	4385	3860	4384	3935	4383	4297	4323	4266	4414	4013	4462	4123	3940	3871	4413	4434	3937	3939	3496	4382	3785	3690	4354	3703	4360	4007	4073	4415	4441	4362	4011	4176	4439	4461	4381	4386	4177	3938	4438	4436	4435	4220	4412	3774	3875	3693	4355	4352	3497	0.89922	0.36805	6.5246	0.89922	6.8926	1.2887	64
817	904	899	1040	1176	1225	949	1228	905	858	862	856	1229	820	947	950	1084	996	860	1083	903	948	741	994	1041	780	778	1132	1230	1180	819	902	993	1131	861	816	1227	1087	1175	1035	1039	995	946	859	739	1177	737	992	901	599	0.60411	0.7297	6.7173	0.60411	7.447	1.1337	83
